ticker,scoring_engine_score,scoring_engine_rating,quant_engine_score,quant_engine_rating,diff_se_minus_qe,abs_diff
ACN,20.5,🚫 风险较高,51.63,👀 综合中性,-31.13,31.13
TYL,17.8,🚫 风险较高,45.61,⚠️ 谨慎评估,-27.81,27.81
PTC,31.0,🚫 风险较高,58.74,👀 综合中性,-27.74,27.74
ADSK,32.2,🚫 风险较高,58.4,👀 综合中性,-26.2,26.2
WDAY,32.6,🚫 风险较高,58.35,👀 综合中性,-25.75,25.75
HUBS,34.3,🚫 风险较高,59.97,👀 综合中性,-25.67,25.67
CRM,31.8,🚫 风险较高,57.42,👀 综合中性,-25.62,25.62
DOCU,31.3,🚫 风险较高,56.03,👀 综合中性,-24.73,24.73
ZM,28.8,🚫 风险较高,53.53,👀 综合中性,-24.73,24.73
EXLS,32.0,🚫 风险较高,56.38,👀 综合中性,-24.38,24.38
NTNX,39.1,⚠️ 谨慎评估,62.83,👀 综合中性,-23.73,23.73
TTD,16.3,🚫 风险较高,40.0,⚠️ 谨慎评估,-23.7,23.7
VEEV,16.3,🚫 风险较高,40.0,⚠️ 谨慎评估,-23.7,23.7
U,10.4,🚫 风险较高,33.82,🚫 风险较高,-23.42,23.42
TSLA,0.0,🚫 风险较高,22.87,🚫 风险较高,-22.87,22.87
TEAM,38.7,⚠️ 谨慎评估,60.99,👀 综合中性,-22.29,22.29
NET,33.1,🚫 风险较高,54.71,👀 综合中性,-21.61,21.61
DUOL,34.6,🚫 风险较高,54.54,👀 综合中性,-19.94,19.94
AI,26.4,🚫 风险较高,46.26,⚠️ 谨慎评估,-19.86,19.86
ZS,44.7,⚠️ 谨慎评估,63.71,👀 综合中性,-19.01,19.01
OKTA,42.0,⚠️ 谨慎评估,60.61,👀 综合中性,-18.61,18.61
GTLB,43.2,⚠️ 谨慎评估,61.67,👀 综合中性,-18.47,18.47
FTNT,41.9,⚠️ 谨慎评估,60.21,👀 综合中性,-18.31,18.31
SNPS,34.3,🚫 风险较高,51.59,👀 综合中性,-17.29,17.29
NFLX,39.6,⚠️ 谨慎评估,56.83,👀 综合中性,-17.23,17.23
S,23.1,🚫 风险较高,40.0,⚠️ 谨慎评估,-16.9,16.9
DDOG,40.5,⚠️ 谨慎评估,57.3,👀 综合中性,-16.8,16.8
CDNS,35.6,⚠️ 谨慎评估,52.37,👀 综合中性,-16.77,16.77
ESTC,37.4,⚠️ 谨慎评估,53.75,👀 综合中性,-16.35,16.35
PATH,37.9,⚠️ 谨慎评估,53.99,👀 综合中性,-16.09,16.09
AVGO,61.7,👀 综合中性,45.79,🧾 数据待复核,15.91,15.91
PANW,40.8,⚠️ 谨慎评估,56.46,👀 综合中性,-15.66,15.66
NXPI,33.7,🚫 风险较高,49.26,⚠️ 谨慎评估,-15.56,15.56
ADBE,36.2,⚠️ 谨慎评估,51.75,👀 综合中性,-15.55,15.55
SDGR,26.1,🚫 风险较高,41.0,⚠️ 谨慎评估,-14.9,14.9
DT,42.2,⚠️ 谨慎评估,56.86,👀 综合中性,-14.66,14.66
P,25.7,🚫 风险较高,40.0,⚠️ 谨慎评估,-14.3,14.3
AMBA,25.7,🚫 风险较高,40.0,⚠️ 谨慎评估,-14.3,14.3
TSM,25.7,🚫 风险较高,40.0,⚠️ 谨慎评估,-14.3,14.3
ADI,33.0,🚫 风险较高,47.03,⚠️ 谨慎评估,-14.03,14.03
INTC,14.8,🚫 风险较高,28.7,🚫 风险较高,-13.9,13.9
JBL,33.0,🚫 风险较高,46.81,⚠️ 谨慎评估,-13.81,13.81
CSCO,37.9,⚠️ 谨慎评估,51.65,👀 综合中性,-13.75,13.75
TXN,28.4,🚫 风险较高,42.04,⚠️ 谨慎评估,-13.64,13.64
ASML,36.3,⚠️ 谨慎评估,49.85,⚠️ 谨慎评估,-13.55,13.55
RXRX,17.4,🚫 风险较高,30.67,🧾 数据待复核,-13.27,13.27
HPE,32.5,🚫 风险较高,45.35,⚠️ 谨慎评估,-12.85,12.85
CRUS,37.9,⚠️ 谨慎评估,50.7,👀 综合中性,-12.8,12.8
MDB,42.0,⚠️ 谨慎评估,54.66,👀 综合中性,-12.66,12.66
CRWD,44.3,⚠️ 谨慎评估,56.8,👀 综合中性,-12.5,12.5
