ticker,company_公司名,sector_板块,val_估值得分(PEG/EV/ERG/PE/FCFYld),grw_成长得分(营收/EPS/FCF/指引增速),qlt_质量得分(毛利率/FCF率/ROIC/负债),ai_AI暴露得分(AI营收/平台/订单占比),exp_预期差得分(超预期营收EPS指引),mom_动量得分(RSI14/价格vs200日均),"risk_风险扣分(max20,Beta/回撤/负债)",final_综合得分(0-100),rating_评级,circuit_熔断(Beta>2.2且回撤>35%或DE>1.8),raw_peg_市盈增长比(越低越便宜),raw_ev_sales_EV营收比,raw_forward_pe_远期市盈率,raw_fcf_yield_FCF收益率(越高越好),raw_rev_growth_营收同比增速,raw_eps_growth_EPS同比增速,raw_fwd_rev_guide_NTM营收指引增速,raw_gross_margin_毛利率,raw_fcf_margin_FCF利润率,raw_roic_投入资本回报率,raw_de_ratio_债务权益比(含可转债),raw_nrr_净收入留存率(SaaS/Cyber),raw_rsi14_RSI14(45-65最佳),raw_vs200ma_价格偏离200日均(%),raw_beta_贝塔系数,raw_max_dd_1y_1年最大回撤,live_fields_实时字段数,bad_fields_剔除字段,validation_status,validation_confidence,source_conflict,formula_mismatch,formula_diff_level,formula_diff_abs,formula_diff_reason,base_score_recalculated,dynamic_adjustment_recalculated,final_score_recalculated,sector_confidence,sector_suggested,raw_data_conflict,momentum_recalculated,human_review_required,validation_notes,source_urls_yf,source_urls_fmp,source_urls_sec,source_urls_10k,last_refreshed,raw_current_price_yf,raw_shares_out_yf,raw_fwd_eps_yf,raw_ev_snap_yf,raw_price_at_ev_snap_yf,raw_net_debt_yf,raw_rev_ttm_yf,raw_fcf_ttm_yf,raw_ebitda_ttm_yf,raw_capex_yf,raw_depr_yf,raw_rd_yf,raw_op_inc_yf
NVDA,NVIDIA Corporation,Hardware,75.96,95.7,88.76,95.37,54.63,85.86,7.34,78.21,Buy,,0.63 [yf],20 [yf],23.42 [yf],0.9% [yf],85.2% [yf],214.5% [yf],35.0% [mk],74.1% [yf],18.3% [yf],114.3% [yf],0.4 [mk],n/a [--],50.3 [yf],10.2% [yf],2.211 [yf],-20.2% [yf],18.0,,PASS,1.0,False,False,minor_diff,0.13,rounding_difference,77.09,0.0,77.09,1.0,Hardware,False,78.5,FALSE,,https://finance.yahoo.com/quote/NVDA,https://financialmodelingprep.com/financial-summary/NVDA,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001045810&type=10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.htm,2026-07-10 22:05,211 [yf],2.422e+10 [yf],12.79 [yf],5.065e+12 [yf],211 [yf],-4.036e+10 [yf],2.535e+11 [yf],4.634e+10 [yf],1.655e+11 [yf],-6.042e+09 [yf],2.843e+09 [yf],1.85e+10 [yf],1.304e+11 [yf]
PLTR,Palantir Technologies,SaaS,54.75,100.0,94.63,85.2,90.67,34.87,6.11,73.63,Buy,,1.87 [yf],54.23 [yf],60.54 [yf],0.6% [yf],56.2% [yf],125.0% [yf],30.0% [mk],84.1% [yf],33.6% [yf],32.6% [yf],0.05 [mk],1.18 [mk],48.5 [yf],-19.1% [yf],1.562 [yf],-48.2% [yf],18.0,,PASS,1.0,False,False,review_medium,2.03,live_data_drift,69.48,0.0,69.48,1.0,SaaS,False,47.4,FALSE,"[DIM-DELTA] ai_exposure: CSV=79.20 vs recalc=85.20 (Δ=-6.00) | [LIVE-DRIFT-OK] final diff=2.03 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/PLTR,https://financialmodelingprep.com/financial-summary/PLTR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001321655&type=10-K,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000011/0001321655-26-000011-index.htm,2026-07-10 22:05,126.8 [yf],2.296e+09 [yf],2.094 [yf],2.962e+11 [yf],126.8 [yf],-7.814e+09 [yf],5.224e+09 [yf],1.753e+09 [yf],2.018e+09 [yf],-3.388e+07 [yf],2.614e+07 [yf],5.577e+08 [yf],1.414e+09 [yf]
MU,Micron Technology,Hardware,71.68,95.56,64.28,47.87,87.14,87.08,7.37,67.49,Hold,,0.37 [yf],21.94 [yf],9.9 [yf],0.7% [yf],196.3% [yf],682.0% [yf],30.0% [mk],58.4% [yf],11.5% [yf],39.8% [yf],0.25 [mk],n/a [--],40.4 [yf],110.9% [yf],2.142 [yf],-30.3% [yf],18.0,,PASS,1.0,False,False,review_low,0.52,live_data_drift,65.07,0.0,65.07,1.0,Hardware,False,98.6,FALSE,"[DIM-DELTA] valuation: CSV=76.40 vs recalc=84.07 (Δ=-7.67) | [LIVE-DRIFT-OK] final diff=0.52 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/MU,https://financialmodelingprep.com/financial-summary/MU,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000723125&type=10-K,https://www.sec.gov/Archives/edgar/data/723125/000072312525000028/0000723125-25-000028-index.htm,2026-07-10 22:05,979.3 [yf],1.129e+09 [yf],149.6 [yf],1.086e+12 [yf],979.3 [yf],-1.965e+10 [yf],9.027e+10 [yf],7.639e+09 [yf],6.822e+10 [yf],-1.586e+10 [yf],8.352e+09 [yf],3.798e+09 [yf],9.809e+09 [yf]
DDOG,Datadog,SaaS,61.38,91.75,66.63,61.43,63.53,84.96,9.93,62.41,Hold,,0.751 [yf],19.14 [yf],78.06 [yf],1.3% [yf],32.2% [yf],104.0% [yf],22.0% [mk],79.9% [yf],25.5% [yf],3.9% [yf],0.22 [mk],1.19 [mk],38.4 [yf],47.2% [yf],1.553 [yf],-48.6% [yf],18.0,,PASS,1.0,False,False,minor_diff,0.32,live_data_drift,61.68,0.0,61.68,1.0,SaaS,False,97.7,False,[DIM-DELTA] valuation: CSV=51.00 vs recalc=64.44 (Δ=-13.44),https://finance.yahoo.com/quote/DDOG,https://financialmodelingprep.com/financial-summary/DDOG,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001561550&type=10-K,https://www.sec.gov/Archives/edgar/data/1561550/000162828026008819/0001628280-26-008819-index.htm,2026-07-10 22:05,223 [yf],3.308e+08 [yf],2.857 [yf],7.879e+10 [yf],223 [yf],-3.474e+09 [yf],3.672e+09 [yf],9.367e+08 [yf],3.464e+07 [yf],-1.354e+08 [yf],5.576e+07 [yf],1.548e+09 [yf],-4.437e+07 [yf]
ZS,Zscaler,Cybersecurity,99.1,88.8,63.25,65.93,59.25,24.32,10.98,62.07,Hold,,0.494 [yf],5.84 [yf],27.16 [yf],5.5% [yf],25.4% [yf],55.0% [yf],22.0% [mk],76.7% [yf],34.9% [yf],-3.7% [yf],0.6 [mk],1.18 [mk],37.8 [yf],-41.0% [yf],0.963 [yf],-64.9% [yf],16.0,ev_ebitda(raw=-304.3),PASS,1.0,False,False,review_medium,2.7,live_data_drift,59.92,0.0,59.92,1.0,SaaS,False,34.0,False,"[DIM-DELTA] ai_exposure: CSV=67.70 vs recalc=65.93 (Δ=+1.77) | [LIVE-DRIFT-OK] final diff=2.70 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/ZS,https://financialmodelingprep.com/financial-summary/ZS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001713683&type=10-K,https://www.sec.gov/Archives/edgar/data/1713683/000171368325000158/0001713683-25-000158-index.htm,2026-07-10 22:05,124.8 [yf],1.617e+08 [yf],4.598 [yf],1.89e+10 [yf],124.8 [yf],-1.671e+09 [yf],3.174e+09 [yf],1.109e+09 [yf],-6.08e+07 [yf],-2.458e+08 [yf],1.212e+08 [yf],6.725e+08 [yf],-1.271e+08 [yf]
GTLB,GitLab,SaaS,98.44,85.21,75.51,58.53,59.25,16.96,10.6,61.04,Hold,,0.323 [yf],3.08 [yf],25.81 [yf],7.0% [yf],23.1% [yf],80.0% [yf],24.0% [mk],86.8% [yf],31.1% [yf],-3.0% [yf],0.0 [mk],1.24 [mk],30.9 [yf],-22.9% [yf],0.961 [yf],-62.0% [yf],15.0,ev_ebitda(raw=-77.53),PASS,1.0,False,False,review_medium,2.59,live_data_drift,58.53,0.0,58.53,1.0,SaaS,False,55.1,False,"[DIM-DELTA] ai_exposure: CSV=48.50 vs recalc=46.53 (Δ=+1.97) | [LIVE-DRIFT-OK] final diff=2.59 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/GTLB,https://financialmodelingprep.com/financial-summary/GTLB,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001653482&type=10-K,https://www.sec.gov/Archives/edgar/data/1653482/000162828026018731/0001628280-26-018731-index.htm,2026-07-10 22:05,26.56 [yf],1.678e+08 [yf],1.029 [yf],3.386e+09 [yf],26.56 [yf],-1.358e+09 [yf],1.005e+09 [yf],3.129e+08 [yf],-4.52e+07 [yf],-1.083e+07 [yf],1.134e+07 [yf],2.746e+08 [yf],-7.048e+07 [yf]
NET,Cloudflare,SaaS,65.39,94.31,54.33,55.33,61.53,77.3,9.56,60.19,Hold,,2.373 [yf],30.63 [yf],142.4 [yf],1.0% [yf],33.5% [yf],60.0% [yf],25.0% [mk],73.3% [yf],32.4% [yf],-5.9% [yf],0.6 [mk],1.15 [mk],42.5 [yf],8.0% [yf],1.674 [yf],-36.8% [yf],16.0,ev_ebitda(raw=-2122),PASS,1.0,False,False,review_low,1.28,live_data_drift,53.93,0.0,53.93,1.0,SaaS,False,82.0,False,"[DIM-DELTA] ai_exposure: CSV=40.50 vs recalc=44.53 (Δ=-4.03) | [LIVE-DRIFT-OK] final diff=1.28 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/NET,https://financialmodelingprep.com/financial-summary/NET,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001477333&type=10-K,https://www.sec.gov/Archives/edgar/data/1477333/000147733326000016/0001477333-26-000016-index.htm,2026-07-10 22:05,224.1 [yf],3.212e+08 [yf],1.574 [yf],8.1e+10 [yf],224.1 [yf],-6.393e+08 [yf],2.329e+09 [yf],7.55e+08 [yf],-3.628e+07 [yf],-3.426e+08 [yf],1.897e+08 [yf],5.125e+08 [yf],-2.072e+08 [yf]
SMCI,Super Micro Computer,Hardware,87.04,89.0,32.53,73.49,41.27,27.54,6.6,59.52,Watchlist,,0.03 [yf],0.78 [yf],9.67 [yf],-40.4% [yf],122.7% [yf],326.0% [yf],28.0% [mk],8.4% [yf],-22.1% [yf],17.9% [yf],0.55 [mk],n/a [--],30.8 [yf],-13.8% [yf],1.869 [yf],-66.2% [yf],17.0,fcf_yield,PASS,0.9,False,False,minor_diff,0.11,rounding_difference,60.18,0.0,60.18,1.0,Hardware,True,56.2,True,[CROSS-SRC] gross_margin: CSV=0.084 vs SEC=0.978 (diff=0.894),https://finance.yahoo.com/quote/SMCI,https://financialmodelingprep.com/financial-summary/SMCI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001375365&type=10-K,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/0001375365-25-000027-index.htm,2026-07-10 22:05,30.66 [yf],6.014e+08 [yf],3.172 [yf],2.542e+10 [yf],30.66 [yf],7.846e+09 [yf],3.37e+10 [yf],-7.448e+09 [yf],1.579e+09 [yf],-1.272e+08 [yf],5.834e+07 [yf],6.366e+08 [yf],1.253e+09 [yf]
APP,AppLovin,SaaS,95.5,100.0,89.09,87.33,78.72,23.51,5.99,59.37,Watchlist,YES,0.189 [yf],23.47 [yf],21.42 [yf],2.2% [yf],59.0% [yf],113.1% [yf],28.0% [mk],88.4% [yf],51.6% [yf],266.4% [yf],1.5 [mk],1.3 [mk],20.4 [yf],-13.4% [yf],2.455 [yf],-50.0% [yf],18.0,,PASS,1.0,False,False,review_low,1.69,live_data_drift,57.37,0.0,57.37,0.0,Unknown,False,53.4,True,"[DIM-DELTA] ai_exposure: CSV=81.10 vs recalc=76.33 (Δ=+4.77) | [LIVE-DRIFT-OK] final diff=1.69 within live-data tolerance, not a formula error",https://finance.yahoo.com/quote/APP,https://financialmodelingprep.com/financial-summary/APP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001751008&type=10-K,https://www.sec.gov/Archives/edgar/data/1751008/000175100826000010/0001751008-26-000010-index.htm,2026-07-10 22:05,469.7 [yf],3.057e+08 [yf],21.93 [yf],1.742e+11 [yf],469.7 [yf],1.091e+09 [yf],6.164e+09 [yf],3.18e+09 [yf],4.872e+09 [yf],-2.832e+07 [yf],1.948e+08 [yf],2.265e+08 [yf],4.152e+09 [yf]
MRVL,Marvell Technology,Hardware,54.32,74.35,60.35,75.28,65.82,91.68,10.39,58.92,Watchlist,,0.671 [yf],31.36 [yf],50.32 [yf],0.8% [yf],27.6% [yf],75.0% [yf],38.0% [mk],51.5% [yf],26.0% [yf],16.0% [yf],0.21 [mk],n/a [--],65.2 [yf],174.9% [yf],2.277 [yf],-26.4% [yf],18.0,,PASS,1.0,False,False,review_low,1.83,rounding_difference,52.44,0.0,52.44,1.0,Hardware,False,99.1,True,,https://finance.yahoo.com/quote/MRVL,https://financialmodelingprep.com/financial-summary/MRVL,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001835632&type=10-K,https://www.sec.gov/Archives/edgar/data/1835632/000183563226000011/0001835632-26-000011-index.htm,2026-07-10 22:05,310.6 [yf],8.756e+08 [yf],6.173 [yf],2.452e+11 [yf],310.6 [yf],1.434e+09 [yf],8.717e+09 [yf],2.27e+09 [yf],2.712e+09 [yf],-3.586e+08 [yf],1.291e+09 [yf],2.075e+09 [yf],1.338e+09 [yf]
